frame_index,state,goal_latent_mse,target_align_mse,target_grasp_mse,target_transfer_mse,target_release_mse,target_retreat_mse,wm_predicted_from_frame,wm_to_encoder_mse
0,align,1.151480793952942,1.455978274345398,1.476292610168457,1.3851665258407593,1.4196465015411377,1.4092965126037598,,
1,align,1.1434352397918701,1.5004628896713257,1.5225825309753418,1.4253780841827393,1.4623501300811768,1.4512003660202026,,
2,align,1.2190638780593872,1.6218743324279785,1.6441243886947632,1.5478923320770264,1.584511160850525,1.5731220245361328,,
3,align,1.0783265829086304,1.4742954969406128,1.496856451034546,1.4008164405822754,1.4366371631622314,1.425307273864746,,
4,align,0.9697496294975281,1.3313192129135132,1.3539403676986694,1.2559726238250732,1.2921184301376343,1.2818421125411987,,
5,align,1.269728183746338,1.6856286525726318,1.708144187927246,1.6099374294281006,1.6476354598999023,1.635969877243042,0,0.2139274924993515
6,align,1.327292799949646,1.7479099035263062,1.7687654495239258,1.681641936302185,1.714678168296814,1.7018823623657227,1,0.25362280011177063
7,align,1.309897780418396,1.7299575805664062,1.750505805015564,1.6652657985687256,1.697376012802124,1.6842572689056396,2,0.2686685025691986
8,align,1.0650625228881836,1.4396991729736328,1.4618198871612549,1.3690478801727295,1.4029639959335327,1.3906126022338867,3,0.271099716424942
9,align,0.5107758641242981,0.21653299033641815,0.22773495316505432,0.19006189703941345,0.2000933587551117,0.1974538415670395,4,0.7130678296089172
10,align,0.6518850922584534,0.13614621758460999,0.13906408846378326,0.1682066172361374,0.14879584312438965,0.14838598668575287,5,1.509985327720642
11,align,0.5018981099128723,0.1468769907951355,0.1574849784374237,0.1617894470691681,0.14848318696022034,0.14561443030834198,6,1.4669934511184692
12,align,0.5522460341453552,0.13930127024650574,0.14597627520561218,0.15921251475811005,0.14647790789604187,0.13890686631202698,7,1.7969673871994019
13,align,0.5275688767433167,0.15836116671562195,0.1693328320980072,0.15768039226531982,0.15329904854297638,0.14474770426750183,8,1.4416813850402832
14,align,0.48331746459007263,0.1601882427930832,0.17385628819465637,0.1451231688261032,0.14740818738937378,0.13970515131950378,9,0.3965267241001129
15,align,0.4851810038089752,0.1643524318933487,0.17727330327033997,0.148409903049469,0.15170302987098694,0.14437764883041382,10,0.4852016866207123
16,align,0.46384477615356445,0.16028980910778046,0.17519819736480713,0.13762283325195312,0.14371904730796814,0.1370294839143753,11,0.4284038245677948
17,align,0.4545980989933014,0.1448284387588501,0.16089174151420593,0.12108316272497177,0.12703090906143188,0.12126193940639496,12,0.47745561599731445
18,align,0.48579779267311096,0.1081874668598175,0.12144966423511505,0.09838587045669556,0.097948357462883,0.0918901264667511,13,0.41389474272727966
19,align,0.6007776260375977,0.046593885868787766,0.0511905774474144,0.07727404683828354,0.0568271279335022,0.052211862057447433,14,0.26821205019950867
20,align,0.589492917060852,0.034489359706640244,0.0419933907687664,0.08168274164199829,0.0472923144698143,0.044386815279722214,15,0.2658257782459259
21,align,0.6417893767356873,0.011409156024456024,0.0162338949739933,0.09254513680934906,0.03710361570119858,0.03685731813311577,16,0.2447037696838379
22,align,0.6775105595588684,0.016171442344784737,0.017305735498666763,0.16666492819786072,0.06910031288862228,0.07819065451622009,17,0.2739887535572052
23,align,0.6989640593528748,0.017412472516298294,0.01439659669995308,0.20584100484848022,0.08678039908409119,0.10366933792829514,18,0.2905968427658081
24,align,0.7025834918022156,0.015468038618564606,0.006254131905734539,0.26736950874328613,0.11130543798208237,0.14023365080356598,19,0.25158247351646423
25,grasp,0.7179080843925476,0.02487935870885849,0.007837815210223198,0.3309500515460968,0.14730636775493622,0.18801510334014893,20,0.23492662608623505
26,grasp,0.6793456077575684,0.04710480198264122,0.013975871726870537,0.38902541995048523,0.20138147473335266,0.2643894553184509,21,0.14577160775661469
27,grasp,0.6097536087036133,0.05084144324064255,0.019194142892956734,0.33868488669395447,0.18644899129867554,0.244888037443161,22,0.0795619785785675
