episode,success,frames,wm_prediction_count,wm_mse_mean,wm_mse_median,wm_mse_p95,wm_mse_max,align_target_mse_mean,align_target_mse_final,grasp_target_mse_mean,grasp_target_mse_final,transfer_target_mse_mean,transfer_target_mse_final,release_target_mse_mean,release_target_mse_final,retreat_target_mse_mean,retreat_target_mse_final
0,False,181,176,0.3159487545490265,0.2800441384315491,0.48141610622406006,1.809983730316162,0.3055489957332611,0.3250642716884613,0.3296619951725006,0.3540554642677307,0.2758199870586395,0.2674797773361206,0.2849109172821045,0.29198721051216125,0.2667340338230133,0.26561474800109863
1,False,181,176,0.20104390382766724,0.12494666874408722,0.41969412565231323,1.7969673871994019,0.7387233376502991,0.9461681246757507,0.7627303004264832,0.9761875867843628,0.6825488805770874,0.8555641174316406,0.7076360583305359,0.8994132876396179,0.6933494210243225,0.8790690898895264
2,False,181,176,0.3559623062610626,0.34654733538627625,0.6441794633865356,0.8886232376098633,0.22388631105422974,0.1914653778076172,0.2464958280324936,0.22183486819267273,0.1933078169822693,0.14324724674224854,0.2064269483089447,0.16428832709789276,0.1821136623620987,0.13150595128536224
3,True,55,50,0.28595632314682007,0.21706879138946533,0.7037162184715271,0.8559086322784424,0.11360597610473633,0.09170787781476974,0.11414091289043427,0.1051318570971489,0.1795804649591446,0.07657032459974289,0.14349737763404846,0.08878936618566513,0.14387643337249756,0.057064201682806015
4,False,181,176,0.1406402289867401,0.059606947004795074,0.34862592816352844,0.4645742177963257,0.10304944962263107,0.11259835213422775,0.12033899128437042,0.1313059777021408,0.0986456498503685,0.0990479439496994,0.095320925116539,0.1038990318775177,0.0828888937830925,0.08679771423339844
5,True,47,42,0.3364129960536957,0.30756473541259766,0.6411470174789429,0.8644139170646667,0.23134933412075043,0.02876507304608822,0.23399482667446136,0.03450441360473633,0.2641902267932892,0.023967694491147995,0.24495461583137512,0.02932702749967575,0.2442895770072937,0.01764903962612152
6,False,181,176,0.1624324470758438,0.12097889930009842,0.4300571084022522,0.7344894409179688,0.35439449548721313,1.1216809749603271,0.36423635482788086,1.1435664892196655,0.39537274837493896,1.0545692443847656,0.3686186373233795,1.0925543308258057,0.3644520044326782,1.059145450592041
7,False,56,51,0.3489644527435303,0.27627575397491455,1.1297369003295898,1.388448715209961,0.3723042607307434,0.2824418544769287,0.37131890654563904,0.2909729480743408,0.4485113024711609,0.27211475372314453,0.4048914313316345,0.28843551874160767,0.4100758135318756,0.24962936341762543
8,True,52,47,0.3615170419216156,0.31922972202301025,0.667332649230957,0.9473040103912354,0.26226934790611267,0.07650113105773926,0.26692038774490356,0.08797513693571091,0.2792888581752777,0.06350919604301453,0.27122214436531067,0.0738409161567688,0.2652566134929657,0.0479438379406929
9,False,181,176,0.32348498702049255,0.33931732177734375,0.36338871717453003,1.0664392709732056,0.1974349468946457,0.06721431016921997,0.2149440348148346,0.08527205884456635,0.18246705830097198,0.06259681284427643,0.18361520767211914,0.057944830507040024,0.1763162612915039,0.0497371181845665
