frame_index,state,goal_latent_mse,target_align_mse,target_grasp_mse,target_transfer_mse,target_release_mse,target_retreat_mse,wm_predicted_from_frame,wm_to_encoder_mse
0,align,1.4909080266952515,1.858428716659546,1.875633716583252,1.802635908126831,1.8305976390838623,1.8178189992904663,,
1,align,1.5137776136398315,1.8797014951705933,1.8964784145355225,1.8255342245101929,1.85284423828125,1.8396543264389038,,
2,align,1.4883993864059448,1.8601770401000977,1.8773586750030518,1.804888129234314,1.8324239253997803,1.8197190761566162,,
3,align,1.4048789739608765,1.7786988019943237,1.7966172695159912,1.7209186553955078,1.7491439580917358,1.7376031875610352,,
4,align,1.3541535139083862,1.7315549850463867,1.750171422958374,1.6712411642074585,1.700578212738037,1.6894620656967163,,
5,align,1.3346997499465942,1.7253906726837158,1.7444185018539429,1.6638991832733154,1.6938446760177612,1.6829919815063477,0,0.16274292767047882
6,align,1.3343381881713867,1.708223581314087,1.7271407842636108,1.646443247795105,1.6761531829833984,1.6660988330841064,1,0.19281713664531708
7,align,1.309881567955017,1.6573795080184937,1.6767743825912476,1.5933765172958374,1.6238667964935303,1.614177942276001,2,0.31493937969207764
8,align,1.0327814817428589,1.2527806758880615,1.2716288566589355,1.1917837858200073,1.2207815647125244,1.2102482318878174,3,0.599753737449646
9,align,0.9684180617332458,1.2256720066070557,1.2480475902557373,1.151559829711914,1.1874165534973145,1.1769589185714722,4,0.5137479305267334
10,align,0.5818636417388916,0.44328102469444275,0.4569743275642395,0.40759944915771484,0.42412012815475464,0.4145335555076599,5,1.1910128593444824
11,align,0.5324837565422058,0.343813419342041,0.3599940538406372,0.3037451207637787,0.3210688531398773,0.3125332295894623,6,1.3409696817398071
12,align,0.4973237216472626,0.2548738420009613,0.27003684639930725,0.22320973873138428,0.23588821291923523,0.2287832498550415,7,1.388448715209961
13,align,0.4939834177494049,0.1305702030658722,0.1406562179327011,0.12261885404586792,0.1241844892501831,0.1177990660071373,8,1.0684608221054077
14,align,0.512245237827301,0.08719413727521896,0.09563247859477997,0.09059961885213852,0.08579738438129425,0.0797424465417862,9,0.8859936594963074
15,align,0.5029147267341614,0.057513654232025146,0.06671507656574249,0.06707976758480072,0.05767394229769707,0.05202394723892212,10,0.37965723872184753
16,align,0.5874266624450684,0.019971713423728943,0.02133934758603573,0.07522585988044739,0.04099135845899582,0.03736041858792305,11,0.35413751006126404
17,align,0.6140261292457581,0.02088884636759758,0.02378194034099579,0.1168878898024559,0.05265397951006889,0.053131602704524994,12,0.3677687644958496
18,align,0.5779170989990234,0.02406361699104309,0.03304651379585266,0.10081988573074341,0.044754184782505035,0.04599117860198021,13,0.31176018714904785
19,align,0.6353746652603149,0.016209512948989868,0.015392884612083435,0.14175115525722504,0.06070064753293991,0.06539937108755112,14,0.27627575397491455
20,align,0.6350517868995667,0.018174517899751663,0.017590932548046112,0.1935560405254364,0.07925476133823395,0.09397625178098679,15,0.27275800704956055
21,align,0.5984479188919067,0.018059270456433296,0.018918056041002274,0.189113587141037,0.07868443429470062,0.09476135671138763,16,0.28404998779296875
22,align,0.6529605388641357,0.022887416183948517,0.012440557591617107,0.24752530455589294,0.1122712790966034,0.1317366063594818,17,0.22206421196460724
23,grasp,0.6703459620475769,0.03492707759141922,0.017344456166028976,0.3199059069156647,0.15192314982414246,0.18350306153297424,18,0.1807917207479477
24,grasp,0.6615546345710754,0.03763975575566292,0.01788831502199173,0.32810288667678833,0.15702572464942932,0.19105641543865204,19,0.11316119879484177
25,grasp,0.6834673881530762,0.03421401605010033,0.018962178379297256,0.27880099415779114,0.13186272978782654,0.15577057003974915,20,0.08237934112548828
26,grasp,0.6826066970825195,0.0344884917140007,0.018615927547216415,0.2792125642299652,0.13247624039649963,0.15629607439041138,21,0.09100838750600815
27,grasp,0.6559773087501526,0.029296666383743286,0.01564987562596798,0.2733649015426636,0.1257915496826172,0.15052399039268494,22,0.08178678900003433
28,grasp,0.6412360668182373,0.026187658309936523,0.014109693467617035,0.26331597566604614,0.1199067085981369,0.14316681027412415,23,0.06936901062726974
29,grasp,0.6116876602172852,0.021457210183143616,0.012995830737054348,0.24818961322307587,0.10931207984685898,0.13195368647575378,24,0.07619223743677139
30,grasp,0.6060454249382019,0.019881276413798332,0.011903050355613232,0.24629537761211395,0.10819926112890244,0.13035497069358826,25,0.08280519396066666
31,grasp,0.5926318764686584,0.019818376749753952,0.010990223847329617,0.2590678334236145,0.1148526594042778,0.14049237966537476,26,0.0838872417807579
32,grasp,0.591937243938446,0.02124094031751156,0.009605569764971733,0.2713626027107239,0.12333101034164429,0.15169724822044373,27,0.0857686772942543
33,grasp,0.5381312966346741,0.018752651289105415,0.010089341551065445,0.2637718617916107,0.12064262479543686,0.15493115782737732,28,0.08887795358896255
