frame_index,state,goal_latent_mse,target_align_mse,target_grasp_mse,target_transfer_mse,target_release_mse,target_retreat_mse,wm_predicted_from_frame,wm_to_encoder_mse
0,align,1.2817294597625732,1.7462685108184814,1.765390396118164,1.6856712102890015,1.715580940246582,1.7024415731430054,,
1,align,1.2785345315933228,1.7518994808197021,1.7712072134017944,1.6907622814178467,1.7208528518676758,1.7078803777694702,,
2,align,1.2792123556137085,1.7494958639144897,1.7688688039779663,1.6876481771469116,1.717788577079773,1.7055926322937012,,
3,align,1.3380376100540161,1.8004567623138428,1.8192462921142578,1.740816354751587,1.7705086469650269,1.7571243047714233,,
4,align,1.3417105674743652,1.8117806911468506,1.8306982517242432,1.7521436214447021,1.7814280986785889,1.768355131149292,,
5,align,1.3571624755859375,1.8125689029693604,1.830754280090332,1.7548383474349976,1.7833449840545654,1.7700445652008057,0,0.3573293685913086
6,align,1.2979544401168823,1.7424596548080444,1.761474370956421,1.6823720932006836,1.7117726802825928,1.6983811855316162,1,0.3454432189464569
7,align,0.6205156445503235,0.7627902030944824,0.7811170816421509,0.705915629863739,0.7310306429862976,0.7221118807792664,2,0.5991778373718262
8,align,0.6073582172393799,0.26385170221328735,0.27467605471611023,0.23657898604869843,0.24687986075878143,0.24321168661117554,3,1.4683380126953125
9,align,0.6454800963401794,0.18181344866752625,0.1905633807182312,0.17904186248779297,0.17709535360336304,0.1720421314239502,4,1.7448619604110718
10,align,0.6175763607025146,0.2079983353614807,0.21739570796489716,0.20054814219474792,0.20084494352340698,0.19332003593444824,5,1.7817965745925903
11,align,0.5784916281700134,0.22282001376152039,0.23317460715770721,0.208718940615654,0.2125062346458435,0.20468688011169434,6,1.809983730316162
12,align,0.5764551758766174,0.18147489428520203,0.19072984158992767,0.17389045655727386,0.17477163672447205,0.16762518882751465,7,0.7130700945854187
13,align,0.5891796946525574,0.16622066497802734,0.1746736466884613,0.16361433267593384,0.161865234375,0.1550266146659851,8,0.36193498969078064
14,align,0.5334542393684387,0.16518259048461914,0.17614996433258057,0.15654560923576355,0.15696632862091064,0.15011590719223022,9,0.40114760398864746
15,align,0.5134639143943787,0.11468057334423065,0.12570905685424805,0.10985416173934937,0.10782067477703094,0.10233771055936813,10,0.37407317757606506
16,align,0.5050933957099915,0.08920060098171234,0.10152580589056015,0.08680860698223114,0.0823945626616478,0.07706977427005768,11,0.3381105959415436
17,align,0.48179832100868225,0.09416269510984421,0.10947396606206894,0.08701789379119873,0.08390804380178452,0.0782228335738182,12,0.3565545976161957
18,align,0.5113162398338318,0.0560956709086895,0.06820712983608246,0.06698545813560486,0.05521921440958977,0.0498543307185173,13,0.3348848521709442
19,align,0.5276268720626831,0.029476188123226166,0.04161415994167328,0.06511618942022324,0.037500910460948944,0.03307397663593292,14,0.3321802616119385
20,align,0.5789743065834045,0.01458790898323059,0.023836921900510788,0.09106319397687912,0.03912988305091858,0.03720524162054062,15,0.31098148226737976
21,align,0.6111197471618652,0.013325835578143597,0.019915005192160606,0.1366393119096756,0.0555512011051178,0.06057363003492355,16,0.3034844398498535
22,align,0.633033812046051,0.013943608850240707,0.016202498227357864,0.1841052621603012,0.07677445560693741,0.0907728374004364,17,0.30120545625686646
23,align,0.6213995814323425,0.013679730705916882,0.014545301906764507,0.20474645495414734,0.08459445089101791,0.1045401319861412,18,0.27027618885040283
24,align,0.6428965926170349,0.014111459255218506,0.009544681757688522,0.2548768222332001,0.10685770213603973,0.13361598551273346,19,0.21781951189041138
25,grasp,0.6283023953437805,0.021201472729444504,0.011838204227387905,0.3071109652519226,0.13683412969112396,0.17729461193084717,20,0.18566276133060455
26,grasp,0.6061305403709412,0.02302243374288082,0.010525442659854889,0.3105088770389557,0.14332304894924164,0.1881566047668457,21,0.10458428412675858
27,grasp,0.5513553023338318,0.015742802992463112,0.014819851145148277,0.23725834488868713,0.10254039615392685,0.13694849610328674,22,0.08189725130796432
28,grasp,0.5250511765480042,0.01329213660210371,0.017060859128832817,0.18250064551830292,0.07783979922533035,0.0997651070356369,23,0.083031065762043
29,align,0.5012162327766418,0.014330866746604443,0.023285187780857086,0.1451127976179123,0.0603315643966198,0.07522250711917877,24,0.11673730611801147
30,align,0.5023204684257507,0.014555668458342552,0.024934416636824608,0.12478586286306381,0.051361896097660065,0.061563294380903244,25,0.14102333784103394
31,align,0.42994293570518494,0.024380650371313095,0.04087045043706894,0.10177004337310791,0.04625309631228447,0.053634822368621826,26,0.19189457595348358
32,align,0.40738439559936523,0.03659973666071892,0.05585508793592453,0.0722474455833435,0.041517697274684906,0.04049077257514,27,0.2481725662946701
33,align,0.38878536224365234,0.04558008909225464,0.06630590558052063,0.06350710242986679,0.04330369457602501,0.03842364251613617,28,0.26778194308280945
34,align,0.41363635659217834,0.048190128058195114,0.067928247153759,0.055731650441884995,0.04190533608198166,0.03498492389917374,29,0.29903069138526917
35,align,0.379586786031723,0.06729427725076675,0.09098649024963379,0.05789053440093994,0.05179139971733093,0.04251556843519211,30,0.32635894417762756
36,align,0.3911166191101074,0.06879105418920517,0.0911056399345398,0.05392110347747803,0.05193387717008591,0.04262000322341919,31,0.30565986037254333
37,align,0.36658239364624023,0.08301893621683121,0.10792621970176697,0.0600380003452301,0.061567407101392746,0.05096777528524399,32,0.31371012330055237
38,align,0.3712562620639801,0.08882560580968857,0.11267749965190887,0.061675798147916794,0.06649240851402283,0.0560847744345665,33,0.31844061613082886
39,align,0.35023126006126404,0.10265551507472992,0.12848329544067383,0.06669585406780243,0.07542847096920013,0.06447719037532806,34,0.3335840702056885
40,align,0.3593546152114868,0.10067236423492432,0.12520161271095276,0.06734117865562439,0.07548065483570099,0.06515786051750183,35,0.332604318857193
41,align,0.3687979280948639,0.09860896319150925,0.12233975529670715,0.06627342104911804,0.07405808568000793,0.06430646777153015,36,0.33731940388679504
42,align,0.40299955010414124,0.08303223550319672,0.10396037995815277,0.06291598081588745,0.06541717052459717,0.056366439908742905,37,0.33060428500175476
43,align,0.4362439811229706,0.06907147914171219,0.08778826892375946,0.05991021543741226,0.057086169719696045,0.04860180616378784,38,0.3184134066104889
44,align,0.44286641478538513,0.06968913972377777,0.08831290900707245,0.06652410328388214,0.06038743257522583,0.051634423434734344,39,0.3268713355064392
45,align,0.41964641213417053,0.07544361054897308,0.09576413035392761,0.0667070597410202,0.06284784525632858,0.053551606833934784,40,0.31779026985168457
46,align,0.41574278473854065,0.07590390741825104,0.09629839658737183,0.06687416881322861,0.06346019357442856,0.053959112614393234,41,0.32548969984054565
47,align,0.41440168023109436,0.0759659856557846,0.09629978239536285,0.06768827140331268,0.06402339041233063,0.05434447154402733,42,0.3276154100894928
48,align,0.38894644379615784,0.08861225843429565,0.11054199188947678,0.07493157684803009,0.07397900521755219,0.06330542266368866,43,0.3634071350097656
49,align,0.3761948049068451,0.08977007865905762,0.11130198836326599,0.07545280456542969,0.07558626681566238,0.06460535526275635,44,0.3714083135128021
50,align,0.34498271346092224,0.09570515155792236,0.1179814338684082,0.08267080783843994,0.08269360661506653,0.07019063830375671,45,0.39781785011291504
51,align,0.3551976680755615,0.08557980507612228,0.10548572242259979,0.07846127450466156,0.07665642350912094,0.06460084021091461,46,0.39100322127342224
52,align,0.3374842405319214,0.08254311978816986,0.1027640849351883,0.07940006256103516,0.07562239468097687,0.06281303614377975,47,0.3946875035762787
53,align,0.3317428231239319,0.07879006117582321,0.09821946918964386,0.08081835508346558,0.07505981624126434,0.061985842883586884,48,0.38299307227134705
54,align,0.2838641405105591,0.09686889499425888,0.11810708045959473,0.09479488432407379,0.09146516025066376,0.07718402147293091,49,0.4172564446926117
55,align,0.2882201373577118,0.09190762042999268,0.11045241355895996,0.09355904906988144,0.08965352177619934,0.07607732713222504,50,0.38164398074150085
56,align,0.25601842999458313,0.10982420295476913,0.13031959533691406,0.10478191077709198,0.1041947454214096,0.08844124525785446,51,0.3859424591064453
57,align,0.25181421637535095,0.11273917555809021,0.13256722688674927,0.10604831576347351,0.10677662491798401,0.09099485725164413,52,0.35664117336273193
58,align,0.2310369461774826,0.11585438251495361,0.13501837849617004,0.10942432284355164,0.11070214211940765,0.09437739104032516,53,0.3268723487854004
59,align,0.2390492558479309,0.10177749395370483,0.11857724189758301,0.1009286642074585,0.10004814714193344,0.08559447526931763,54,0.22939491271972656
60,align,0.21654967963695526,0.1158360093832016,0.13338446617126465,0.11121305078268051,0.11248650401830673,0.09633117914199829,55,0.20782089233398438
61,align,0.2144012451171875,0.11521878093481064,0.13162760436534882,0.11057053506374359,0.11230376362800598,0.09667258709669113,56,0.1750485748052597
62,transfer,0.19685517251491547,0.12906834483146667,0.1466720998287201,0.11985629796981812,0.12383377552032471,0.10612695664167404,57,0.1705564260482788
63,transfer,0.20480068027973175,0.121692955493927,0.13918247818946838,0.11277332901954651,0.11630510538816452,0.09972404688596725,58,0.09798023849725723
64,transfer,0.17760922014713287,0.1539684385061264,0.17507976293563843,0.13388872146606445,0.14213834702968597,0.121844083070755,59,0.08382583409547806
65,transfer,0.18702173233032227,0.13730916380882263,0.15774622559547424,0.1184675544500351,0.12569144368171692,0.10729112476110458,60,0.0739026814699173
66,transfer,0.1755935549736023,0.14227154850959778,0.16306793689727783,0.12298141419887543,0.13058443367481232,0.11104132980108261,61,0.07649826258420944
67,transfer,0.1823313683271408,0.1482868790626526,0.1694391965866089,0.12669920921325684,0.1349988430738449,0.1160002201795578,62,0.0787024274468422
68,transfer,0.16203899681568146,0.18280911445617676,0.2056589126586914,0.15483170747756958,0.16662411391735077,0.14380721747875214,63,0.11362248659133911
69,transfer,0.17323607206344604,0.19343596696853638,0.21579375863075256,0.1646546572446823,0.1767117977142334,0.15511901676654816,64,0.13850651681423187
70,transfer,0.16323015093803406,0.22884181141853333,0.2518462538719177,0.19570600986480713,0.21012644469738007,0.18642261624336243,65,0.20629362761974335
71,transfer,0.16575199365615845,0.23325511813163757,0.25677430629730225,0.1972070187330246,0.21242231130599976,0.18969063460826874,66,0.22532285749912262
72,transfer,0.15258491039276123,0.28059861063957214,0.30674833059310913,0.23540537059307098,0.2550816535949707,0.22849957644939423,67,0.28183019161224365
73,transfer,0.1466706246137619,0.2742561101913452,0.3014889657497406,0.2250167578458786,0.245969757437706,0.21982821822166443,68,0.2858326733112335
74,transfer,0.15453171730041504,0.323722243309021,0.35245048999786377,0.26844513416290283,0.2921300232410431,0.26375338435173035,69,0.32817089557647705
75,transfer,0.16395144164562225,0.3330719470977783,0.36219558119773865,0.27515846490859985,0.2992870509624481,0.2724936902523041,70,0.3507625162601471
76,transfer,0.16084955632686615,0.36063966155052185,0.3917864263057709,0.29637783765792847,0.32341498136520386,0.29466450214385986,71,0.4158095419406891
77,transfer,0.1614241749048233,0.41368621587753296,0.4478569030761719,0.339848130941391,0.3713547885417938,0.33915814757347107,72,0.44188570976257324
78,transfer,0.16561411321163177,0.40851348638534546,0.4424215257167816,0.334153950214386,0.36520716547966003,0.33546361327171326,73,0.5212644934654236
79,transfer,0.1557287573814392,0.39371246099472046,0.4278126657009125,0.31942155957221985,0.35062628984451294,0.32103973627090454,74,0.5201073288917542
80,transfer,0.16441740095615387,0.3684355616569519,0.401161789894104,0.297617107629776,0.3269723057746887,0.30025896430015564,75,0.5126006603240967
81,transfer,0.1661311388015747,0.35527604818344116,0.38720759749412537,0.2871346175670624,0.3155401051044464,0.2892375886440277,76,0.47102126479148865
82,transfer,0.17235462367534637,0.3463099002838135,0.377349853515625,0.2808073163032532,0.30802056193351746,0.2825769782066345,77,0.4151616096496582
83,transfer,0.17025093734264374,0.33505210280418396,0.3654741048812866,0.27200648188591003,0.29835864901542664,0.27296459674835205,78,0.39439061284065247
84,transfer,0.1712477207183838,0.33248311281204224,0.3627748489379883,0.2702314853668213,0.29634103178977966,0.2709260880947113,79,0.38001111149787903
85,transfer,0.1710912585258484,0.328654944896698,0.3589341342449188,0.266464501619339,0.2925527095794678,0.26737451553344727,80,0.38736310601234436
86,transfer,0.1819719523191452,0.31749188899993896,0.34688135981559753,0.2578417956829071,0.28262990713119507,0.2589591145515442,81,0.3610256612300873
87,transfer,0.1878504604101181,0.31188249588012695,0.3406781554222107,0.2541705369949341,0.2781781554222107,0.25510141253471375,82,0.32994261384010315
88,transfer,0.17999593913555145,0.3006204664707184,0.32958802580833435,0.2433970868587494,0.267281174659729,0.24374620616436005,83,0.302446573972702
89,transfer,0.183501198887825,0.29559239745140076,0.32428595423698425,0.23986706137657166,0.2630631625652313,0.23962149024009705,84,0.27818143367767334
90,transfer,0.19367213547229767,0.2865622043609619,0.31422144174575806,0.2339581698179245,0.25569698214530945,0.23344247043132782,85,0.24297909438610077
91,transfer,0.1798160821199417,0.29600727558135986,0.3249298334121704,0.23999974131584167,0.2633902430534363,0.23941826820373535,86,0.22443647682666779
92,transfer,0.18099339306354523,0.29922839999198914,0.3284575939178467,0.2421381175518036,0.2657756507396698,0.2419782131910324,87,0.20044292509555817
93,transfer,0.18225979804992676,0.29223892092704773,0.32107648253440857,0.236564040184021,0.25947487354278564,0.23604261875152588,88,0.1843854784965515
94,transfer,0.1829729825258255,0.30222663283348083,0.3312950134277344,0.24576370418071747,0.26908594369888306,0.2451988160610199,89,0.1848934441804886
95,transfer,0.17682020366191864,0.31235238909721375,0.34208858013153076,0.2537883222103119,0.27813732624053955,0.25330185890197754,90,0.211159810423851
96,transfer,0.17366302013397217,0.3104640245437622,0.3399914503097534,0.2523631155490875,0.27650710940361023,0.25146758556365967,91,0.22717837989330292
97,transfer,0.16932399570941925,0.30200693011283875,0.33107537031173706,0.24572214484214783,0.26919347047805786,0.2438715547323227,92,0.25748908519744873
98,transfer,0.17241746187210083,0.30237841606140137,0.3309811055660248,0.24726375937461853,0.2702674865722656,0.24516403675079346,93,0.2779865562915802
99,transfer,0.16748738288879395,0.318217396736145,0.34779518842697144,0.25991201400756836,0.2844538688659668,0.2581905722618103,94,0.29193052649497986
100,transfer,0.16523981094360352,0.33187389373779297,0.36229798197746277,0.27035003900527954,0.29620611667633057,0.26946645975112915,95,0.3045629560947418
101,transfer,0.1620538979768753,0.34053581953048706,0.3715053200721741,0.2771155834197998,0.30383574962615967,0.2765948176383972,96,0.3154413402080536
102,transfer,0.16733895242214203,0.3407692313194275,0.3714067339897156,0.27761876583099365,0.3040620684623718,0.27786070108413696,97,0.3329308032989502
103,transfer,0.1625882089138031,0.35480058193206787,0.3862115740776062,0.2888411283493042,0.31671181321144104,0.2894439399242401,98,0.36309853196144104
104,transfer,0.1684630662202835,0.34702056646347046,0.37786024808883667,0.2824622094631195,0.3094414174556732,0.2835996150970459,99,0.3549382984638214
105,transfer,0.16754840314388275,0.3344578444957733,0.36466509103775024,0.2724139392375946,0.2984705865383148,0.27277082204818726,100,0.3408271372318268
106,transfer,0.16891779005527496,0.3334242105484009,0.36344441771507263,0.2719765603542328,0.29784345626831055,0.2721980810165405,101,0.3282376527786255
107,transfer,0.1669909507036209,0.3404777944087982,0.3709191083908081,0.2778113782405853,0.3043178915977478,0.27813073992729187,102,0.3092900514602661
108,transfer,0.1709601879119873,0.3264441192150116,0.35622769594192505,0.2659575641155243,0.2913338243961334,0.2663378417491913,103,0.26269635558128357
109,transfer,0.16649070382118225,0.32045769691467285,0.35028013586997986,0.2607235908508301,0.2859590947628021,0.2602326273918152,104,0.24483369290828705
110,transfer,0.17371346056461334,0.30774828791618347,0.3364916741847992,0.25167280435562134,0.2752474248409271,0.2504192888736725,105,0.22841684520244598
111,transfer,0.17238755524158478,0.31139689683914185,0.3401625156402588,0.25539761781692505,0.27907776832580566,0.2536996304988861,106,0.20906464755535126
112,transfer,0.17846839129924774,0.3054005801677704,0.3336155414581299,0.2508239150047302,0.2737042009830475,0.24935434758663177,107,0.19918560981750488
113,transfer,0.17099909484386444,0.3130207657814026,0.34187397360801697,0.25685808062553406,0.28065845370292664,0.2550160884857178,108,0.20861554145812988
114,transfer,0.17008216679096222,0.3117361068725586,0.3407476842403412,0.2551429271697998,0.2790030837059021,0.2534219026565552,109,0.21003073453903198
115,transfer,0.16901685297489166,0.31487005949020386,0.34384578466415405,0.2581987977027893,0.2821498513221741,0.25629687309265137,110,0.21289889514446259
116,transfer,0.17069977521896362,0.32877635955810547,0.3581814765930176,0.27040159702301025,0.2951045334339142,0.2688937187194824,111,0.2207278460264206
117,transfer,0.17228025197982788,0.31758755445480347,0.346660852432251,0.26002347469329834,0.28414231538772583,0.25899019837379456,112,0.22812168300151825
118,transfer,0.17195701599121094,0.31272920966148376,0.3414999842643738,0.25653940439224243,0.28019121289253235,0.25489360094070435,113,0.2335464507341385
119,transfer,0.1688060760498047,0.31899404525756836,0.34807783365249634,0.2618282437324524,0.286052405834198,0.2599964141845703,114,0.25050386786460876
120,transfer,0.16367001831531525,0.3303752541542053,0.36034923791885376,0.2701526880264282,0.2957153618335724,0.2688091993331909,115,0.26991650462150574
121,transfer,0.17081303894519806,0.3231601119041443,0.3525770902633667,0.26391005516052246,0.2887220084667206,0.2634582817554474,116,0.27013978362083435
122,transfer,0.16772861778736115,0.31950628757476807,0.348740816116333,0.2609294652938843,0.2856634259223938,0.2600350081920624,117,0.2889840602874756
123,transfer,0.17071914672851562,0.31254953145980835,0.34117627143859863,0.2559314966201782,0.2797865569591522,0.25464290380477905,118,0.29838284850120544
124,transfer,0.1722870022058487,0.3175933361053467,0.3462119996547699,0.26089876890182495,0.28489792346954346,0.25961315631866455,119,0.30628105998039246
125,transfer,0.17976050078868866,0.30698806047439575,0.33479806780815125,0.25241610407829285,0.27532070875167847,0.2514420747756958,120,0.3023136556148529
126,transfer,0.1793627291917801,0.30967795848846436,0.3373020887374878,0.25572070479393005,0.2785709798336029,0.2543143033981323,121,0.3045084774494171
127,transfer,0.1811876744031906,0.3132631480693817,0.34105443954467773,0.2586582899093628,0.2817513644695282,0.2576027810573578,122,0.30790606141090393
128,transfer,0.17937161028385162,0.3101867437362671,0.33799314498901367,0.255653977394104,0.2787216305732727,0.25455746054649353,123,0.3071342408657074
129,transfer,0.17460300028324127,0.3170669674873352,0.34546804428100586,0.26091963052749634,0.2847836911678314,0.2597713768482208,124,0.3015819191932678
130,transfer,0.17524760961532593,0.31361550092697144,0.342141330242157,0.25733324885368347,0.2811272144317627,0.2564108967781067,125,0.287651926279068
131,transfer,0.17881280183792114,0.31404852867126465,0.3425179719924927,0.25775760412216187,0.28145965933799744,0.25710535049438477,126,0.2737137973308563
132,transfer,0.17564266920089722,0.311201274394989,0.3396700322628021,0.2554429769515991,0.2790324091911316,0.2543131411075592,127,0.24944870173931122
133,transfer,0.17470772564411163,0.31038567423820496,0.33869993686676025,0.25540071725845337,0.2787224054336548,0.25379273295402527,128,0.2402459979057312
134,transfer,0.171572744846344,0.31573399901390076,0.344515323638916,0.2592637538909912,0.2832629382610321,0.25786101818084717,129,0.22445814311504364
135,transfer,0.17757439613342285,0.3305433988571167,0.3597862124443054,0.27187731862068176,0.2966936230659485,0.2715455889701843,130,0.2324494868516922
