frame_index,state,goal_latent_mse,target_align_mse,target_grasp_mse,target_transfer_mse,target_release_mse,target_retreat_mse,wm_predicted_from_frame,wm_to_encoder_mse
0,align,0.8964815735816956,0.6301240921020508,0.6560827493667603,0.536480724811554,0.5902320146560669,0.5681185126304626,,
1,align,0.8180660605430603,0.5459229946136475,0.5732651352882385,0.44721877574920654,0.5021465420722961,0.48183271288871765,,
2,align,0.909586489200592,0.6423499584197998,0.6708472967147827,0.5353024005889893,0.5947408080101013,0.5741077065467834,,
3,align,0.7552751898765564,0.3988684415817261,0.42406702041625977,0.3130215108394623,0.35756418108940125,0.34274452924728394,,
4,align,0.7017614245414734,0.3336065709590912,0.35643333196640015,0.2500165104866028,0.2921493351459503,0.279058575630188,,
5,align,0.6293102502822876,0.2273012101650238,0.24716100096702576,0.16062067449092865,0.19206134974956512,0.18233254551887512,0,0.23882825672626495
6,align,0.6750999093055725,0.2046821117401123,0.22586338222026825,0.13565897941589355,0.16904006898403168,0.15452459454536438,1,0.26632800698280334
7,align,0.6295661330223083,0.1615850329399109,0.18032018840312958,0.10282166302204132,0.13048401474952698,0.11823689192533493,2,0.2918652594089508
8,align,0.6359474658966064,0.17101189494132996,0.1922626793384552,0.10187938064336777,0.13616888225078583,0.1176222562789917,3,0.28729304671287537
9,align,0.6350841522216797,0.128184974193573,0.14767108857631683,0.07124271988868713,0.096416175365448,0.08351298421621323,4,0.30220088362693787
10,align,0.6400284171104431,0.11726461350917816,0.14002583920955658,0.05778239294886589,0.08132877200841904,0.06722179800271988,5,0.27671149373054504
11,align,0.6196765303611755,0.09581141173839569,0.11934270709753036,0.04611402004957199,0.061741556972265244,0.04989219829440117,6,0.28043222427368164
12,align,0.572767436504364,0.046942971646785736,0.0647607296705246,0.030275776982307434,0.023801289498806,0.022230517119169235,7,0.25895440578460693
13,align,0.5372994542121887,0.015689222142100334,0.02945663034915924,0.06978008151054382,0.015193037688732147,0.024723172187805176,8,0.26376786828041077
14,align,0.5671396851539612,0.008111492730677128,0.017595982179045677,0.12837348878383636,0.037385471165180206,0.0563846230506897,9,0.2833769619464874
15,grasp,0.590736448764801,0.007078332360833883,0.007745161186903715,0.1671372503042221,0.056322090327739716,0.07749917358160019,10,0.29027172923088074
16,grasp,0.5849166512489319,0.011569274589419365,0.012241674587130547,0.1760219931602478,0.06473982334136963,0.09190432727336884,11,0.24548794329166412
17,align,0.5798355340957642,0.009751453064382076,0.015494292601943016,0.13071829080581665,0.04305540770292282,0.05871700495481491,12,0.18882037699222565
18,align,0.5852880477905273,0.013823459856212139,0.025479529052972794,0.09835585206747055,0.029848098754882812,0.03783337399363518,13,0.20307554304599762
19,align,0.5855863690376282,0.015466339886188507,0.02854401431977749,0.08219939470291138,0.024318097159266472,0.0279910396784544,14,0.21231286227703094
20,align,0.5904346108436584,0.023697558790445328,0.0394902378320694,0.06983312219381332,0.024135489016771317,0.024541303515434265,15,0.2737644910812378
21,align,0.5775495171546936,0.021848713979125023,0.03622007369995117,0.06268802285194397,0.022134941071271896,0.021099617704749107,16,0.27465859055519104
22,align,0.583341658115387,0.03472448140382767,0.05241510272026062,0.057328008115291595,0.026952426880598068,0.023684199899435043,17,0.32387039065361023
23,align,0.5833790898323059,0.030770687386393547,0.046298086643218994,0.05263657495379448,0.02504272572696209,0.021168624982237816,18,0.3166825771331787
24,align,0.573553740978241,0.0323760062456131,0.04869639128446579,0.054681479930877686,0.026027536019682884,0.022157296538352966,19,0.3204013407230377
25,align,0.5645740628242493,0.028427299112081528,0.043777115643024445,0.05339343473315239,0.023466920480132103,0.020018529146909714,20,0.3136621415615082
26,align,0.568805456161499,0.03821592032909393,0.055962543934583664,0.05358327552676201,0.028357943519949913,0.024052148684859276,21,0.32178691029548645
27,align,0.5700709223747253,0.04214581474661827,0.060095809400081635,0.04780663177371025,0.0291011743247509,0.024101708084344864,22,0.3169388175010681
28,align,0.5677021741867065,0.046153247356414795,0.06450408697128296,0.045676492154598236,0.030764346942305565,0.025416597723960876,23,0.3212863802909851
29,align,0.5539456009864807,0.03954700380563736,0.056394658982753754,0.04251743480563164,0.0260951966047287,0.021767988801002502,24,0.31345173716545105
30,align,0.557999312877655,0.04871974512934685,0.06735144555568695,0.04499044641852379,0.031800009310245514,0.026467494666576385,25,0.3186761736869812
31,align,0.5417677164077759,0.048258911818265915,0.06538069993257523,0.043742161244153976,0.03302869200706482,0.027596041560173035,26,0.322477251291275
32,align,0.5320420861244202,0.043373748660087585,0.05894243344664574,0.04264751076698303,0.030570482835173607,0.02560489997267723,27,0.3155958652496338
33,align,0.5243687629699707,0.03858764097094536,0.0529436394572258,0.044429562985897064,0.02883811853826046,0.024257007986307144,28,0.3126625716686249
34,align,0.5280982851982117,0.04745294898748398,0.06388527154922485,0.04545765370130539,0.033437199890613556,0.028103914111852646,29,0.3138403594493866
35,align,0.5265037417411804,0.04173007607460022,0.05661787837743759,0.04164403676986694,0.02951740100979805,0.024630514904856682,30,0.30429843068122864
36,align,0.5244259834289551,0.04197869822382927,0.05683988332748413,0.0432269386947155,0.029993228614330292,0.02501497231423855,31,0.3002014756202698
37,align,0.5127647519111633,0.038912225514650345,0.052978456020355225,0.043453045189380646,0.028636358678340912,0.02405080758035183,32,0.3045070469379425
38,align,0.5183687806129456,0.0377720408141613,0.051791898906230927,0.043833158910274506,0.027868837118148804,0.02330755442380905,33,0.30198541283607483
39,align,0.5133164525032043,0.0353093147277832,0.04850811883807182,0.04581765457987785,0.027677234262228012,0.02326401136815548,34,0.3040487468242645
40,align,0.5222315192222595,0.04040815681219101,0.054739754647016525,0.044336020946502686,0.02950896881520748,0.024576276540756226,35,0.3019566237926483
41,align,0.5314499735832214,0.03400803729891777,0.04662308841943741,0.042396917939186096,0.02592136524617672,0.021328246220946312,36,0.2961653172969818
42,align,0.5209317803382874,0.03480421006679535,0.04862799867987633,0.044184453785419464,0.025564666837453842,0.021302809938788414,37,0.29948925971984863
